document_id,clean_text,sentiment
1892126299969188073,meme coin war back different broccoli fighting listing im voting let send least one moon httpstconqdvzqabr supra deepseekai px aave jailstool usdt gst cro dog bera layer turbo vine arb httpstcobyinloeva httpstcotktlqlugde,Negative
1892122210271146450,rt digitalmto deepseek,Neutral
1892114281006592137,httpstcogetlzsf deepseekai ai,Neutral
1892112609828012486,perplexitydeepseek rr perplexity deepseek deepseekai digitalgeek httpstcoivmqoxqc,Neutral
1892110635690791279,httpstcobqfsdffexi ai deepseekai artificalintelligence machinelearning ml,Neutral
1892109152379453828,read httpstcoguhxhzfoym regulatoryissues deepseekai dataprotection ai ainews analyticsinsight analyticsinsightmagazine httpstcoiaknsnw,Neutral
1892108534441013253,ai meet trading tiger broker integrates deepseek ai taking tigergpt platform next level smarter insight better decision read article httpstcousbveyak propinsider proptrading aipoweredtrading deepseekai tigerbrokers,Positive
1892107090732237011,ai inxdeeprabbitww gpt httpstcokunyiclus deepseekrinx deepseekai,Neutral
1892103912414404864,rt dharmisthabaid deepseek ai didnt emerge thin air take look graph showcasing progression model depicted,Negative
1892096102226096542,deepseek ai v openai win deepseek ai next big competitor openai let find httpstcoqdwcvum deepseekai deepseek openai openaigpt artificalintelligence generativeai chatgpt,Positive
1892087906354774063,rt capitalandcode discover hidden al revolution deepseek al disrupting tech world amp u stock market httpstcoskeq,Negative
1892086808395055216,discover hidden al revolution deepseek al disrupting tech world amp u stock market httpstcoskeqhopuna deepseekai ai stockmarketcrash meta google,Negative
1892083612561908012,deepseek whatisdeepseek whatsdeepseek whatisdeepseekai deepseekr deepseekr deepseekstock deepseekvschatgpt deepseekai deepseekchat deepseeknews deepseek instruct llm envision amp deepseekr httpstcogzvyamivdj,Neutral
1892082938730172719,riz gempool campaign live feb plenty time stake earn sweet riz reward stakingrewards passiveearnings bera layer dog cro gst deepseekai supra turbo px icp aave bad om hei usdt ena arb vine gala jailstool crypto farming httpstcotcyhdoj,Negative
1892076838584737917,full block super red indonesiagelap artisbersuara fish arowanafish kingofthejungle predatorfish predator sab aquariumfish aquariumhobby coolfish bigfish chiparwana hobiarwana arwana tipspeliharaarwana mikered capcut indukarwana arwanasuperred deepseekai httpstcojtzlqgjuux,Positive
1892073552666378578,deepseek ai facing backlash regulator worried httpstcoukaoajul regulatoryissues deepseekai dataprotection ai ainews analyticsinsight analyticsinsightmagazine httpstconfmyobiao,Neutral
1892072519949074790,naomi rrq bisa save core indonesiagelap artistbersuara mplid mlbb mobilelegendsbangbangindonesia deepseek deepseekai mobilelegends mlbbinfo mlbb mlcommunity mlbbph mlbbcreatorcamp mlbbtrivia httpstcoetyujrpvd,Neutral
1892072506632098127,kenapa hero ini begitu gacor indonesiagelap artistbersuara mplid mlbb mobilelegendsbangbangindonesia deepseek deepseekai mobilelegends mlbbinfo mlbb mlcommunity mlbbph mlbbcreatorcamp mlbbtrivia httpstconfazgjvol,Neutral
1892072181720302016,kasihan pak dhika nggak di tanggapi sama bintang tamunya pa bilang coba endingnya malah ngakakindonesiagelap artistbersuara short talkpod dustin darkjokes laporpak deepseekai chakzzz shortskomedi tretanuniverse taulanytv sab tonightshow darkjokes vincent httpstcojbggxdasqv,Neutral
1892070578732814793,rt analyticsinme deepseek ai facing backlash regulator worried im,Neutral
1892070576627318981,deepseek ai introduces nsa hardwarealigned natively trainable sparse attention mechanism ultrafast longcontext training inference deepseekai nsamechanism sparseattention aitechnology longcontexttraining httpstcouvgkwjdlq httpstcoiukmjatu,Neutral
1892069358232301920,deepseek ai facing backlash regulator worried impact data privacy ethical standard let dive regulatoryissues deepseekai dataprotection ai ainews httpstcowcoqqe httpstcocidrheujy,Positive
1892051800863408438,want run tested deepseek r b working flawlessly intel integrated gpus thanks httpstcoinoscbapqt deepseekai ollama ipexllm intelgpu httpstcojbzdslpqi,Positive
1892046729312088141,kicking fresh goal casting vote gemvote phase let get project listed httpstcoiocgjanxo gala bad aave bera om layer gst icp deepseekai cro turbo supra ena dog px arb vine usdt jailstool hei httpstcogjmtfcpx httpstcoggjeuzhij,Negative
1892038646150386126,kucoins xoxo fixed promotion live else cryptoearnings bera om jailstool gst usdt vine turbo dog px icp cro gala layer bad deepseekai ena aave arb hei supra httpstcoyjtazjfvj,Negative
1892034560755400820,cryptozxzchina mpup deepseek first crypto creation even forbes say moonpup mascot deepseekai httpstcowlyeqatr httpstcojgjgkulhid,Positive
1892034291967860929,deepseek ai campus technology aidevelopment deepseekai cloudsecurityalliance aifuture httpstcoatcyavkszn,Neutral
1892020778679607431,following top trader kucoin zero worry thanks loss protection let get gain ena usdt hei px bad gala bera icp jailstool turbo dog arb om deepseekai aave vine gst supra layer cro httpstcokzgzdwpax httpstcozwvjbyqixe,Positive
1892011370079486329,rt miningwatchdog new crypto added americai grok penguin hog osol network karu,Positive
1892005822798152064,outgrow client expectation outpace worry take showaround factory everyday customer check treasure timely danbleclimate climatechamber testinstrument temperatura semiconductor deepseekai httpstcowjfuuioxf,Negative
1892002213590950119,sometimes like feature kinda able see ai thinking deepseekai httpstcoqeswakyxc,Positive
1892001904248386041,deepseek e retirada de tiendas de apps en corea del sur deepseekai coreadelsur entornomx httpstcokdfzlysm httpstcohzrgrnxip,Neutral
1892000916972196039,deepseek unlocked everything need know china ai chatbot app deepseek wrote article httpstcoqplgpxabhx deepseek deepseekai deepseekaichina ai artificialintelligence generativeai,Neutral
1891996206198297087,rt nannnone time china deepseekai,Neutral
1891996109129777421,searching great domain name ai company project weve got numerous great ai domain sale website httpstcohhtotbvagc ai aidomains aiopportunity deepseekai openai,Positive
1891988180422787313,deepseek httpstcoawsqerfz deepseek deepseekr deepseekai,Neutral
1891969606694183074,writer muruganmos planecrash deepseekai,Neutral
1891969555632714154,rajuparama muruganmos planecrash deepseekai,Neutral
1891969254020334072,raghavansree muruganmos planecrash deepseekai,Neutral
1891969198554796069,mehanathan muruganmos planecrash deepseekai httpstcosaigdyumvi,Neutral
1891969101343392077,mdhayal muruganmos planecrash deepseekai,Neutral
1891969078543180164,nanda muruganmos mkstalin udhaystalin planecrash deepseekai,Neutral
1891968909948981341,muruganmos planecrash deepseekai,Neutral
